Novati Translation by Michael Chidester Getty Translation by Colin Hatcher,Morgan Version (1400s) [edit] Transcribed by Michael Chidester,Getty Version (1400s) [edit] Transcribed by Michael Chidester
[1] These five figures are the guards of the dagger; and some are good in armor; and some are good without armor; and some are good both in or out of armor; and some are good in armor but not good without armor; and all these are displayed below.,,"[9r-t] Queste zinque figure sono le guardie dela daga. E tale e bona in arme, e tale e bona senza senza[131] arme. E tale e bona in arme e sença arme. e tale e bona in arme e non senza arme E tutte queste noii dechiaremo."
"[2] [Full Iron Gate, Single] I am Full Iron Gate Single. And I am good in armour and without armour, because I can ward off an attack with or without moving to grapple. And I can play with or without a dagger when I make my covers.",,[9r-a] ¶ Io son tutta porta di ferro e son sempia. E son bona in arme e senza. Per che io posso rebatter e far cum presa e senza. E posso zugare cum daga e senza e far mie coverte.
"[3] [Full Iron Door, Doubled] I am Full Iron Gate Doubled, and I am good in armour and without armour, but in all situations I am better in armour than without armour, and with a guard like this I cannot use a dagger.",,[9r-b] ¶ C[!] son tutta porta di ferro e son dopia. e son bona in arme e senza. e pur megliore son in arme che senza. e cum tal guardia non posso usar daga.
"[4] [Middle Iron Gate, Doubled] I am Middle Iron Gate with dagger in hand and I am doubled, and I am better and more strong than any of the others, and I am good in armour and without armour, and I can cover low and high on either side.",,"[9r-e] ¶ Io son mezana porta de ferro cum la daga in mano e son dopia, e la meglore e la piu forte de tutte le altre. E son bona in arme e senza, e posso covrir de sotto e'de sopra & ogni parte."
"[5] [Full Iron Door, Doubled and Crossed] And I am Full Iron Gate with the arms crossed and doubled. And I am like a mighty fortress, and in armour I am especially strong. But without armour I am not sufficient, because I cannot cover long.",,[9r-f] ¶ E son tutta porta di ferro cum li brazi incrosadi e son dopia. e son in forte forteça. e in arme io son bona e forte. E sença arme io non son sufficiente per che non posso covrir longo.
"[6] [Middle Iron Gate, Doubled and Crossed] And I am Middle Iron Gate doubled and crossed [with dagger]. And I am good in armour but not without armour, because I cannot cover long, but I can cover above and below, from the right and the left, with or without a dagger.",,"[9r-c] ¶ E son meza porta di ferro, e son dopia incrosada. E son bona in arme e non senza per che non posso far longa coverta, e posso covrir de sopra e de sotto, de man dritta e de man riversa cum daga e senza."
"[7] I am the noble weapon named the dagger who plays at very close range, and he who understands my malice and my art will also gain a good understanding of many other weapons. And since I finish my fight fiercely and quickly, there is no man who can stand against my method. Whoever witnesses my deeds of arms will see me make covers and thrusts as I move to grapple, and will see me take away the dagger by dislocating and binding arms, and against me neither weapons nor armour will be of any use.",,"[9v-f] ¶ Io son la nobele arma chiamada daga che de zogho stretto, molto son vaga. E chi cognosce mie malicie e mia arte, d'ogni sotile armizare avera bona parte. E per finir subito mia crudel bataglia, non e homo che contra me vaglia. E chi me vedera in fatto d'armizare, Coverte e punte fare cum lo abrazare. E torogli la daga cum roture e ligadure. E contra me non valera arme ne armadure."
"[8] Everyone should take care when facing the perilous dagger, and your arms, hands and elbows must go quickly against it, to do these five things, namely: take away the dagger; strike; dislocate the arms; bind the arms; and force your opponent to the ground. And never fail to do one or the other of these five things; And may he who seeks to defend himself protect himself in this way.",,"[9v-a] ¶ Del curtello periculoso che zaschun de de[132] luii dubito, li brazi le man e'lle chubito doi contra quello va di subito. ¶ A far questo cinque chose in sempre sera. ¶ Zoe tor la daga, e ferir, romper li brazi. e ligargli, e meterlo in terra. ¶ E si di questi cinque zoghi uno l'altro non abandona. ¶ Chi sa deffender si guardi la persona."
"[9] With the fendente I can strike to the head and the body from the elbow up to the top of the head. But below the elbow I cannot be sure that I can make this strike without danger, and therefore I am reluctant to strike lower.",,[9v-b] De fendente posso ferire la testa e'l corpo del cubito infine ala sumita dela testa. E del cubito in zo non ho sigura liberta sença periculo tanto. et de questo ferire mi dubito.
"[10] From the left (reverse) side, you can strike from the elbow to end at the temple of the head. And these are called the colpi mezani (middle strikes). And these reverse strikes from the left cannot be delivered if you are still waiting to make cover against your opponent’s attack.",,"[9v-c] ¶ Dela parte reversa si pò ferire del cubito in fin ale tempie dela testa. E sono chiamadi colpi mezani, E quelli colpi da reverso, non se pon fare stando parechiado de fare coverta contra'l suo inimigho."
"[11] From the right side you can strike or cover if needed, and your target ranges from the elbows to the temples of the head. And this strike is more safely made from the right side than made from the left side.",,"[9v-d] ¶ La dritta parte po ferire, e po covrire s'ello'e di bisogno, e po ferire delli cubiti in fin ale tempie dela testa, e piu sigura mente dela parte dritta che dela riversa."
[12] The dagger that goes through the middle towards the head strikes below the chest and never higher. And while striking you should at all times make cover with your left hand.,,"[9v-e] ¶ La daga che va per mezo verso la tua testa po ferire in fin sotto lo petto, e non piu in erto. E sempre cum la mane stancha po andar coverto."
"[13] After taking away your dagger, to signify my victory I hold it in my raised hand in this manner.",,
"In my right hand I hold your dagger, and I gained it through my skill, which is so good that if you draw a dagger on me, I will take it from your hand. And I know well how to strike to finish you, no matter what advantage you might have.",,"[10r-a] ¶ Per che io porto daga in mia mane dritta, io la porto per mia arte che lla o ben meritada, che zaschun che me trara di daga, io gle'la toro di mano. E cum quella lo savero ben ferire, pero che lo pro e'l contra del tutto so finire."
,,
"[14] Because I triumph over those who fight with me, I carry torn-off broken arms as a decoration.",,
