Novati Translation by Michael Chidester Getty Translation by Colin Hatcher,Morgan Version (1400s) [edit] Transcribed by Michael Chidester,Getty Version (1400s) [edit] Transcribed by Michael Chidester
"[1] In the name of God and Saint George, we begin our system with Grappling on foot, seeking to gain superior holds. Holds are not superior unless they give you an advantage. Thus we four Masters seek to achieve advantageous holds through the techniques you see depicted here.",,
"[2] [The Long Guard] I am ready to show you how I win with my holds, And if I don’t leave you wondering what happened, you can count yourself lucky.",,
"I am Posta Longa and I seek you like this. And in response to the first grapple that you attempt on me I will bring my right arm up under your left arm. And I will then execute the first play of Grappling. And with that lock I will force you to the ground. And if that lock looks like it will fail me, then I will switch to one of the other locks that follow.",,[6r-a] ¶ Io son posta longa e achosi te aspetto. E in la presa che tu mi voray fare. Lo mio brazo dritto che sta in erto. Sotto lo tuo stancho lo mettero per certo. E intrero in lo primo zogho de Abrazare. E cum tal presa in terra ti faro andare. E si aquella presa mi venisse a manchare. In le altre prese che seguen vigniro intrare.
,,
"[3] [The Boar's Tooth] I seek to reverse the fight, And from this position I will force you to the ground.",,
"I counter you with Dente di Zenghiaro. And with this move I am sure to break your grip. And from this guard I can transition to Porta di Ferro, which will force you to the ground. And if my plan fails me because of your defense, I will seek other ways to hurt you, for example with breaks, binds and dislocations, as you see depicted in these drawings.",,"[6r-b] ¶ In dente di zenghiar contra ti io vegno. Da romper la tua presa certo mi tegno. E di questa isiro, e in porta di ferro intrero. E per metterte in terra saro aparechiado. E si aquello ch'i'o ditto mi falla per tua defesa. per altro modo cerchero di farte offesa. Çoe cum roture ligadure e dislogadure. In quello modo che sono depente le figure."
,,
"[4] [The Iron Gate] If you fail to beat me with your skill, I believe That with my power I will hurt you, or worse.",,
"I wait for you without moving in Porta di Ferro, ready to grapple with all of my skill. And this guard can be applied not only in the art of grappling, but also in the art of the Spear, the Poleaxe, the Sword, and the Dagger. For I am Porta di Ferro, full of danger. Those who oppose me will always end up in pain and suffering. And as for those of you who come against me trying to get your hands on me, I will force you to the ground.",,"[6r-c] ¶ In Porta di ferro io ti aspetto senza mossa. Per guadagnar le prese a tutta mia possa. Lo zogho de Abrazare aquella e mia arte. E di lanza, Azza, Spada, e daga o grande parte. Porta di ferro son di malicie piena. Chi contra mi fa, sempre gli do briga e pena. E a ti che contra mi voii le prese guadagnare. Cum le forte prese io ti faro in terra andare."
,,
[5] [The Guard of the Forehead] I advance upon you with my arms well forward To lay hands on you in a variety of ways.,,
"I am Posta Frontale, used to get my hands on you. Now if I come against you in this guard, you may lay hands on me. But I will then move from this guard, and with skill I will take you down to Porta di Ferro. Then I will make you suffer as if you had fallen into the depths of hell. And I will serve you so effectively with locks and dislocations, that you will quickly acknowledge my superiority. And as long as I don’t forget my skills, I will gain my superior holds.",,"[6r-d] ¶ Posta frontale son per guadagnar le prese. Si in questa posta vegno, tu me faraii offese. Ma io mi movero di questa guardia. E cum inzegno ti movero di porta di ferro. Peço ti faro stare che staresti in inferno. De ligadure e rotture ti faro bon merchato. E tosto si vedera chi avera guadagnato. E le prese guadagnero, se non saro smemorato."
,,
[6] With this move I will either force you to the ground Or else your left arm will be dislocated.,,
"This is the first play of Abrazare and from every grappling guard you can arrive at this play, and from this position, proceed as follows: jam his right inside elbow with your left hand, and bring your right hand up behind and against his left elbow as shown. Now quickly make the second play, that is to say, having gripped him like this, turn your body to the left, and as a result he either goes to the ground or his arm will be dislocated.",,"[6v-a] ¶ Questo si'e lo primo zogho de abrazare, & ogni guardia d'abrazare si po 'rivare in questo zogho, e in questa presa zoe. Pigli cum la man stancha lo suo brazo dritto in la piegadura del suo brazo dritto, e la sua dritta mano metta chosi dritta apresso lo suo cubito, e poii subito faza la presa del segondo zogho, zoe piglilu[!] in quello modo e daga la volta ala persona. E per quello modo, o ello andara in terra, overo lo brazo gli sera dislogado."
,,
"[7] Either I will make you kiss the ground with your mouth, Or I will force you into the lower lock.",,
"As the Scholar of the First Abrazare Remedy Master says, I am certain to put this man to the ground, either by breaking or dislocating his left arm. And if the Zugadore who fights with the First Abrazare Remedy Master takes his left hand off the shoulder of the Remedy Master in order to make a defense, then I will quickly let go of his right arm with my left hand and instead seize his left leg with my left hand, and grip his throat with my right hand in order to throw him to the ground, as you see depicted in the third play.",,"[6v-b] ¶ Io Scolaro del primo Magistro si digo che son certo de zitar questo in terra, o rompere suo brazo sinistro, overo dislogare. E si lo zughadore che zogha cum lo Magistro primo levasse la man stancha dela spalla del Magistro per far altra defesa, subito io che son in suo scambio lasso lo suo brazo dritto cum la mia man stancha, piglo la sua stancha gamba, e la mia man dritta gli metto sotto la gola per mandarlo in terra in questo che vedeti depento lo terzo zogho."
,,
"[8] And I will put you on the ground on your back, And I will not let you back up again without injury.",,
