Novati Translation by Michael Chidester Getty Translation by Colin Hatcher,Morgan Version (1400s) [edit] Transcribed by Michael Chidester,Getty Version (1400s) [edit] Transcribed by Michael Chidester
"[1] Here are three opponents who all want to kill this Master. The first aims to kill him with a thrust. The second intends a cut. The third will throw his sword at the master like a spear. If the Master can perform a mighty deed[194] and avoid being killed, then God will have indeed blessed him with great skill.[195]","[17v-a] Noii semo tri zugadori che volemo ferir questo magistro. Uno gle di trare de punta l'altro de taglo, l'altro vole lanzare la sua spada contra lo ditto magistro. Si che bene sera grande fatto ch'ello non sia morto questo magistro. Che dio lo faza ben tristo.","[20r-c] ¶ Noii semo tre Zugadori che volemo alcider questo Magistro. Uno gli de trare di punta, l'altro di taglo l'altro vole latt lançare la sua spada contra lo ditto Magistro. Si che ben sara grande fatto ch'ello non sia morto. che dio lo faza ben tristo."
"[2] Whether throwing the sword or striking cuts or thrusts, It amounts to nothing because of the guard that I hold. Come one by one whoever wants to go against me Because I want to contend with you all. And whoever wants to see covers and strikes, Taking the sword and binding without fail, Watch what my Scholars know how to do: If you don't find a counter, they have no equal. You are cowards[196] and know little of this art. You are all words without any deeds. I challenge you to come at me one after another, if you dare, and even if there are a hundred of you, I will destroy all of you from this powerful guard. …","[17v-b] Voi sete cativi e di questa arte save pocho. Fate gli fatti che parole non ha logo, vegna a uno a uno chi sa fare e po. Che se voi fosse cento tuti ve guastaro per questa guardia ch'e cosi bona e forte. Io acresco lo pe ch'e denanci uno pocho fora de strada. E cum lo stancho io passo alla traversa. E cum quelo passar io me covro rebatendo le spade, ve trovo discoverti, e de ferire ve faro certi. E si lanza o spada che me ven lanzada, tute le rebatto come i'o ditto passando fora de strada, segondo che vui vederite gli mie zoghi de dredo, de guardagli ch'io ven prego, e pur cum spada a una man faro mia arte","[20r-d] ¶ Voii seti cativi e di quest'arte savete pocho. Fate gli fatti che parole non ano loco. Vegna a uno a uno chi sa fare e po. Che se voi fossi cento tutti vi guastero, Per questa guardia ch'e chossi bona e forte, Io acresco lo pe ch'e denançi un pocho fora de strada e cum lo stancho io passo ala traversa. E in quello passare mi crovo[!] rebattendo le spade[197] ve trovo discoverti[198] E de ferirre[199] vi faro certi. E si lanza o spada me ven alanzada, tutte le rebatto chome t'o ditto passando fuora di strada, Segondo che vedereti li miei zochi qui dreto. De guardagli che v'in prego. E pur cum spada a una mano faro mia arte, como vederete in queste carte."
"[3] With a step, I have made a cover with my sword And it has quickly entered into your chest. …I will advance my front foot a little off the line, and with my left foot I will step crosswise,[202] and as I do so I will cross your swords, beating them aside and leaving you unprotected. I will then strike you without fail. And even if you throw your spear or sword at me, I will beat them all aside in the same manner I described above, stepping[203] off the line as you will see me demonstrate in the plays that follow, and which you would do well to study. And even though I am only holding the sword in one hand, I can still perform all of my art, as you will see demonstrated in this book.","[17v-b] Voi sete cativi e di questa arte save pocho. Fate gli fatti che parole non ha logo, vegna a uno a uno chi sa fare e po. Che se voi fosse cento tuti ve guastaro per questa guardia ch'e cosi bona e forte. Io acresco lo pe ch'e denanci uno pocho fora de strada. E cum lo stancho io passo alla traversa. E cum quelo passar io me covro rebatendo le spade, ve trovo discoverti, e de ferire ve faro certi. E si lanza o spada che me ven lanzada, tute le rebatto come i'o ditto passando fora de strada, segondo che vui vederite gli mie zoghi de dredo, de guardagli ch'io ven prego, e pur cum spada a una man faro mia arte","[20r-d] ¶ Voii seti cativi e di quest'arte savete pocho. Fate gli fatti che parole non ano loco. Vegna a uno a uno chi sa fare e po. Che se voi fossi cento tutti vi guastero, Per questa guardia ch'e chossi bona e forte, Io acresco lo pe ch'e denançi un pocho fora de strada e cum lo stancho io passo ala traversa. E in quello passare mi crovo[!] rebattendo le spade[197] ve trovo discoverti[198] E de ferirre[199] vi faro certi. E si lanza o spada me ven alanzada, tutte le rebatto chome t'o ditto passando fuora di strada, Segondo che vedereti li miei zochi qui dreto. De guardagli che v'in prego. E pur cum spada a una mano faro mia arte, como vederete in queste carte."
"[4] In order to wound you again with this, my point, I have added my left hand to the sword. This is a play where if you wish to make this kind of thrust, you should be armoured. If your opponent strikes at you with a thrust or a cut, you first make your cover, and then quickly counter attack as shown. [The Getty resembles the Pisani Dossi, including the lack of armor.]","[19r-a] Questo e uno zogo che vole essere armato chi vole metere tal punta. Quando uno te d tra de punta, o de taio, tu fai la coverta, e subito metegli questa per lo modo ch'e dipento.","[21v-c] ¶ Questo e un zogo che vol esser armado chi vol metter tal punta. Quando uno ti tra di punta e de taglio, tu faii la coverta, e subito metti gli questa per lo modo ch'e depinto."
[5] Here I have struck you in your head From the cover that I have made so quickly.,,
"[6] Again I have struck your head without stepping Because of the good cover that I knew to make. I have rendered you completely unprotected, and now I will easily strike you in the head. And if I choose to pass forward with my rear foot, I can perform close range techniques against you, such as locks, dislocations and grapples.","[17v-d] In tuto t'o trovado discoverto, e in la testa t'o ferido per certo. E s'io cum lo mio pe de dredo voio innanzi passar asai zoghi stretti poria contra ti fare, zoe in ligadure roture, e in abrazare.","[20v-b] ¶ In tutto t'o trovado discoverto, e in la testa t'o ferido per certo. E se io cum lo mio pe di dredo voglio inanci passare Assay zoghi stretti poria contra te fare, zoe in ligadure, rotture, & Abbrazare."
"[7] I uncover you in this way to strike you with my point To avenge myself on you for every manifest neglect. I have done what my teacher[208] told me to do. That is to say I stepped off the line making a strong cover. And having rendered my opponent unprotected I now easily place a thrust into his face. And with my left hand I will demonstrate that I can take his sword, and send it to the ground.","[17v-c] Quello che ha ditto lo magistro io l'o ben fatto, zoe ch'io passai fora de strada fazando bona coverta. E lo zugadore trovo discoverto. Si che una punta gle voio metere in lo volto per certo. E cum la man stancha voio provare. Se la tua spada posso in terra fare andare.","[20v-a] ¶ Quello che a ditto lo magistro io l'o ben fatto, zoe ch'io passai fora de strada façendo bona coverta, E lo zugadore trovo discoverto, si che una punta gli voglo metter in lo volto per certo, E cum la man stancha voglo provare, Se la tua spada posso in terra far andare."
"[8] Because of the hand that I have put beneath your hilt, If your sword doesn't go to the ground, call me squint-eyed.  From this position I can easily strike or stab you. And if I advance my front foot forward, I can lock you in the middle bind, as shown in the third play of the first Remedy Master of the dagger.[211] Alternately I can do the play shown next, and strike and lock you as shown there. [In the Getty, the Scholar's opponent has his right foot forward.]",,"[20v-c] ¶ De taglio e de punta ben te posso ferire. Anchora se acresco lo pe ch'e denanzi, io ti posso ligare in ligadura mezana ch'e denanzi dipenta al terzo zogo del primo magistro rimedio di daga. Anchora questo zogo che m'e dredo io ti posso fare. E per tal modo ti posso ferire, e anchora ligare."
"[9] With my left arm, I have bound your right And will you be presented with many strikes. Here both your sword and your arm are effectively trapped, and you will not be able to escape before I strike you as described, because you have shown you know nothing of this play.",,"[20v-d] ¶ La tua spada e'l tuo Brazo e ben impresonado e no te'n poii fuzire che non ti fiera a mio modo, per che tu mostra saver pocho di questo zocho."
"[10] Because of the way in which I have caught your sword, I will quickly have hollowed out your hand. Here I can easily strike you while taking your sword, and by rotating it in your hand I will make you drop it as the only way to prevent yourself being thrown to the ground.",,"[21r-a] ¶ Qui te posso ben ferire, e la tua spada tore senza fallire. Voltandola in torno la mane, ti faro riversare, per modo che la spada te convien lassare."
"[11] I will make you turn with the left hand And in that, I want to give you a great blow. Here I can strike you from the front, but this is not enough. By gripping your elbow I make you turn away, then I wrap[213] my sword around your neck from behind, and you will have no defense to this.",,"[21r-b] ¶ Qui ti posso ferire denançi. e questo non mi basta per lo cubito che io ti penço, io ti faro voltare per ferirte di dredo, e la spada al collo ti poro butare, si che di questo non ti poraii guardare."
"[12] Because of the turn that I have given you by your elbow I believe I have cut you across the throat. In the previous drawing I told you I would turn you and then quickly wrap my sword around your neck, as shown here. And if now I fail to cut your throat, then I am a pathetic fool. [The Getty resembles the Pisani Dossi.]",,[21r-c] ¶ Per quello zogo che m'e denanzi per quello modo ti fe io voltare. e subito la spada mia ti butai al collo. Se io non te taglo la gola di pur che io sia tristo e follo.
"[13] This is a good break of the point on the ground And in this fashion you will come to be in the narrow. You aimed[214] a thrust at me and I beat it to the ground. Do you see how you are now unprotected and can be struck? And I can also turn you and do you even more harm, by striking you from behind.",,"[21r-d] ¶ Tu mi zitassi una punta, e io la rebatei a terra. Vede che tu sei discoverto, e che ti posso ferire. Anchora ti voglo voltare per farte pezo. E di dredo te feriro in quello mezo."
"[14] I have sending you to the ground in my thoughts: Again, you are uncovered so that I can strike you. Because I turned you by pushing your elbow, I have quickly come to this position and from here I can throw you to the ground, where you will no longer be able to fight me or anyone else.",,"[21v-a] ¶ Per la volta che ti fiei[!] fare penzando ti per lo cubito. A questo partido so vegnudo ben di subito. Per cason de butar te in terra, per che tu non fazi, ne a me ne altruii guerra."
"[15] Either your sword is bent or it is broken And I can strike you from above or from below with mine. This opponent struck at my head, and I beat his sword to the ground, coming to the position you see depicted here. Now after forcing you to turn away I will aggressively[215] wrap my sword around your neck.",,"[21v-b] ¶ Questo mi trassi per la testa, & io rebatei la sua spada. Io so vegnudo a questo partido. Anchora ti faro volare voltare per non aver fallito. E la spada te mettero al collo, tanto son io ardito."
"[1] We are two guards that are similar to each other, and yet each one is a counter to the other. And for all other guards in this art, guards that are similar are counters to each other, with the exception of the guards that stand ready to thrust—the Long Guard, the Short Guard and the Middle Iron Gate. For when it is thrust against thrust the weapon with the longer reach will strike first. And whatever one of these guards can do so can the other. And from each guard you can make a “turn in place” or a half turn. A turn in place is when without actually stepping[216] you can play to the front and then to the rear on the same side. A half turn is when you make a step forwards or backwards and can switch sides to play on the other side from a forwards or backwards position. A full turn is when you circle one foot around the other, one remaining where it is while the other rotates around it. Furthermore you should know that the sword can make the same three movements, namely stable turn, half turn and full turn. Both of these guards drawn below are named the Guard of the Lady. Also, there are four types of movement[217] in this art, namely passing forwards, returning,[218] advancing,[219] and withdrawing.[220] [Text spans both images.]",,"[22r-a] ¶ Noii semo doi guardie una si fatta che l'altra, e una e contraria del'altra. e zaschuna altra guardia in l'arte una simile del'altra si'e contrario salvo le guardie che stano in punta zoe posta lunga e breve e meza porta di ferro che punta per punta la piu lunga fa offesa inançi. E ço che po far una po far llaltra. E zaschuna guardia po fare volta stabile e meza volta. Volta stabile si'e che stando fermo po zugar denanci e di dredo de una parte. Meza volta si'e quando uno fa un passo o inanzi o indredo, e chossi po zugare del'altra parte denanzi e di dredo. Tutta volta si'e quan uno va intorno uno pe cum l'altro pe, l'uno staga ferma e l'altro lo circundi. E perzo digo che la spada si ha tre movimenti, çoe volta stabile, meza volta, e tutta volta. E queste guardie sono chiamate l'una e l'altra posta di donna. Anchora sono ·ⅲⅰ· cose in l'arte, çoe passare, tornare, Acressere, e discressere."
"[2] Six Masters we are, and we dispute one to another Each does something that the others do not: And every one of them holds his sword in guard; We will explain and demonstrate that which they are. For throwing I am well-prepared, On a big step I will strike a bargain. We are six guards and each of us is different from the other, and I am the first to speak of my purpose. My method is to throw my sword. The other guards follow after me. I believe they will tell you themselves about their particular virtues.",,"[22r-c] ¶ Voii[!] semo Seii guardie. & una non e simile del'altra. E io son la primera che digo mia rasone. De lanzar mia spada questa e mia condicione. Le altre guardie che de mi sono dredo, dirano le lor virtude come io credo."
"[3] Against the grip of hand and also the throw, With this guard, I know well how to ward. I am a good guard, in armor or without armor, and against a spear or a sword thrown from the hand, I am confident I will not be harmed, because I know how to beat them aside and thus evade them.",,"[22r-d] ¶ Io son bona guardia in arme e senza, e contra lanza e spada zitada fora di mano, Che io le so rebattere e schivarle. Pero me tegno certo che non me pon far male."
"[4] In order to strike farther and to step stronger Against armor I want to stand in this way. I am the guard to use if you want to extend a long thrust, because my grip on the sword increases its reach. I am good to use against you if you and I are armored, because I can make a quick thrust to the front which will not miss you.",,[22v-a] ¶ E son guardia de trar una longa punta tanto che lo mio mantener di spada de longeza monta. E son bona d'andare contra uno che sia luii e mi armato. Per che io habia curta punta denanzi io non saro inaganato.
"[5] Against dagger and against sword, armored And unarmored, I want to be found in this way. I am a good guard against sword, axe and dagger if I am armored, because I grip the sword with my left hand at the middle. And this is particularly useful against the dagger, which can do more harm to me at close range than the other weapons.",,[22v-b] ¶ Io son bona guardia contra spada azza e daga siando armado. Per che io tegno la spada cum la man mancha al mezo. E'llo faço per fare contra la daga che me po fare dele altre arme pezo.
"[6] This grip is the noble Stance of the Queen: She defends against cutting and thrusting in every way. I am named the Guard or Post of the Lady, and[221] I am different from the four[222] sword guards[223] that came before me, even though they are themselves different from each other.[224] And although the next guard that opposes me seems to be my guard also, you will note that I am not using my sword reversed as a poleaxe, whereas that is how he is using his.[225]",,"[22v-c] ¶ Guardia e posta di donna son chiamata per che cum queste altre prese de spada e son divisada, che una non e tal presa che l'altra, ben che questa che m'e contra mi pare la mia guardia. Se non fosse forma de Azza che la spada si intrada."
